Time (s),Voltage (V)
1.041975308641975229e-05 ,2.199222352534427216e+00
1.051851851851852033e-05 ,2.000778690338762544e+00
1.061728395061728499e-05 ,2.199222364408793595e+00
1.071604938271604964e-05 ,2.000003531657679190e+00
1.081481481481481429e-05 ,2.199222364408793595e+00
1.091358024691357895e-05 ,2.199997511215510571e+00
1.101234567901234699e-05 ,2.198444154015376739e+00
1.111111111111111164e-05 ,2.198444142141010360e+00
1.120987654320987630e-05 ,1.800006500387514308e+00
1.130864197530864095e-05 ,1.801556841498420880e+00
1.140740740740740899e-05 ,2.198444165889743118e+00
1.150617283950617365e-05 ,1.801556817749684569e+00
1.160493827160493830e-05 ,1.801556841498420880e+00
1.170370370370370295e-05 ,1.800006524136250619e+00
1.180246913580247100e-05 ,2.199994483251913380e+00
1.190123456790123565e-05 ,2.199994459503177069e+00
1.200000000000000030e-05 ,2.198444142141010360e+00
